text;label
"Do roku 1992 astronomowie podejrzewali, ale nie posiadali jednoznacznych wyników obserwacyjnych potwierdzających istnienie układów planetarnych innych, niż nasz - czyli Układ Słoneczny. W 1992 zespół kierowany przez Aleksandra Wolszczana odkrył układ planetarny związany z pulsarem (gwiazdą neutronową) oznaczaną symbolem PSR 1252+12. Od tego czasu, odkryto ponad 400 układów pozasłonecznych (stan: styczeń 2010)
 
Mimo takiej wielości układów planetarnych, w obserwacjach amatorskich liczy się nadal jedynie Układ Słoneczny, gdyż planety naszego układu mogą być obserwowane bezpośrednio, przy tym są na tyle blisko, że mając możliwość obserwować ich powierzchnie, możemy odnotować wiele zjawisk dynamicznych na ich powierzchniach.
 
Jednym z powracających pytań początkujących miłośników astronomii jest ""co widać przez teleskop"". Istnieją obawy, że widać jedynie Księżyc (a i tu często początkujący nie wiedzą, czy będą widoczne kratery), zaś możliwość obserwacji powierzchni planet wydaje się czymś nieosiągalnym dla miłośniczych, a więc stosunkowo niewielkich teleskopów. Oczywiście nic bardziej błędnego!";astronomia
"1000 Puzzle delle Formiche czyli „mrówkowe” Obrazek Wieża Babel/Torre di Babele
Jedyne, które pasowały mi do tematu miesiąca, zaczęłam, nawet fajnie się układały. Trochę mocno spasowane, ale powierzchnię mają super, matowe, aksamitne jak Enjoy. Ale skończę za miesiąc. Właśnie wyruszyliśmy na miesięczną szwendaczkę przyczepką Na pokładzie puzzelki są, ale mniejsze, coś tam pewnie ułożę. A mróweczki niech tam sobie pracują na tej wieży babel na razie same";inne
C/2020 F3 (NEOWISE) – kometa długookresowa, odkryta 27 marca 2020 roku za pomocą teleskopu kosmicznego NEOWISE[2], która stała się widoczna z Ziemi gołym okiem w pobliżu peryhelium w lipcu 2020[3].;astronomia
Planety powinny być fotografowanie możliwie jak najwyżej nad horyzontem i przy dobrym seeingu. Aby móc wykonać kilka stabilnych sekwencji zdjęć planety za pomocą astrokamery, niezbędne jest również zmotoryzowane śledzenie i dobre ustawienie na biegun. Wymagania dotyczące tego ustawienia nie są jednak tak wysokie, jak w przypadku fotografii głębokiego nieba.;astronomia
"Niewidoma Marie-Laure mieszka w Paryżu w okolicy Muzeum Historii Naturalnej, gdzie pracuje jej ojciec. Ma dwanaście lat, kiedy naziści okupują jej miasto i wraz z ojcem musi uciekać do Saint-Malo w Bretanii. Traf chce, że mają przy sobie pewien klejnot, jeden z najcenniejszych zabytków muzeum.
W górniczym miasteczku w Niemczech osierocony chłopiec, Werner Pfenning, oczarowany słucha radia, które dostarcza mu wiedzę na temat świata i przenosi w odległe krainy. Wkrótce Werner staje się ekspertem w budowaniu i naprawianiu urządzeń i zostaje wcielony do elitarnej jednostki nazistowskiej, której zadaniem jest namierzanie wrogich radiostacji.
Zręcznie przeplatając życie Marie-Laure i Wernera, Doerr unaocznia, w jaki sposób, wbrew wszelkim przeciwnościom, ludzie starają się być dla siebie dobrzy i przetrwać okrucieństwo wojny.";inne
"Bieszczady miały być dla Wiktora Forsta azylem. Zaszył się w niewielkiej wsi, znalazł wikt i opierunek u starej kobiety, w zamian zajmując się jej gospodarstwem i podupadającą chatą. Zostawił wszystko i wszystkich za sobą, nie potrafiąc poradzić sobie z tym, co bezpowrotnie utracił.
Zgnębiony żalem, chciał przestać istnieć, a odludne tereny Bieszczadów wydawały się do tego idealne. Do czasu. W okolicy bowiem zaczęto odkrywać niemożliwe do identyfikacji ciała, wszystkie z wypalonym między oczami, nieznanym symbolem. Miejscowa policja nie radzi sobie ze sprawą, śledztwo stoi w miejscu, w górach zaś pojawiają się kolejne ofiary. Apele przez oficjalne kanały nie działają, komenda główna z jakiegoś powodu odmawia pomocy. Jedynym, kto może jej udzielić, jest pewien komisarz na wygnaniu…";inne
"Nowa gazetka już dostępna!
Z radością informujemy, że nasza czerwcowa gazetka promocyjna jest już gotowa do przeglądania! Lato w PSB Mrówka zapowiada się obiecująco, a my przygotowaliśmy dla Was mnóstwo atrakcyjnych ofert i promocji na sezon letni.
Znajdziecie u nas wszystko, czego potrzebujecie do ogrodu, domu i na działkę. Od narzędzi, przez meble ogrodowe, po dekoracje i sprzęt AGD. Sprawdźcie nasze czerwcowe okazje i skorzystajcie z wyjątkowych cen!
Zapraszamy do odwiedzenia naszych sklepów oraz przeglądania gazetki online. Nie przegapcie najlepszych ofert tego lata!
Do zobaczenia w PSB Mrówka!";inne
"Nie każdy może lub chce zabrać swój teleskop i aparat na urlop, by na miejscu astrofotograficznie wykorzystać ciemne niebo – ale to właśnie miesiące letnie idealnie nadają się do spróbowania sił w astrofotografii przy niewielkim nakładzie technicznym i zwrócenia się ku rzadko obserwowanemu obiektowi astronomicznemu: Drodze Mlecznej.

Fotografowanie Drogi Mlecznej wymaga w zasadzie jedynie aparatu, obiektywu szerokokątnego i statywu: ponieważ chodzi tu o fotografowanie możliwie jak najszerszych kadrów wstęgi Drogi Mlecznej, pełnoklatkowe lustrzanki cyfrowe z ich dużymi matrycami rejestrującymi sprawdzają się tu lepiej niż aparaty z matrycami APS-C; niemniej jednak, one również się nadają.";astronomia
Księżyc w fazie 3 doby i 7 godzin po nowiu. Bardzo efektowny przebieg terminatora przez zachodnie rubieże Morza Przesileń, oferował ładny widok księżycowej topografii w kontrowym świetle Słońca. Północną część sierpa zdominowało tego wieczoru Morze Przesileń i krater Cleomedes a południową, łańcuch czterech wielkich kraterów: Langrenus, Vendelinus, Petavius i Furnerius. Szkoda tylko, że fatalne warunki pogodowe nie pozwoliły wykonać przyzwoitej jakości fotografii. Parametry: 2024.06.09.21:32CWE. Newton 250/1520 + Barlow 2x + N.D810. Exp.1/40sek. ISO1000. Zręcin;astronomia
"Wentworth 1000 „Soulmates”
Przecudowne puzzle, jestem w nich po prostu zakochana 
Pierwszy raz miałam okazję ułożyć drewniane puzzle, jest to zupełnie inne układanie ale jestem pozytywnie zaskoczona. Firma Wentworth jest cudowna, te kolory, ten wykrojnik, po prostu bajka 
Puzzle ułożone dzięki Instagramowej akcji #travellingpuzzle";inne
"UWAGA! Dziś również widzimy się na żywo! Okienko startowe naszej transmisji otwiera się o 21:15!
Spojrzymy na Księżyc! Wzrastająca faza odsłania coraz ciekawsze struktury topografii Srebrnego Globu. Przy linii dnia i nocy ukażą się dziś piękne góry księżycowe. 
Obejrzymy wspólnie start rakiety Falcon 9 (zaplanowany na godzinę 22:46 / godzina może ulec zmianie), a około 20-25 minut po starcie spróbujemy dostrzec ją z Polski. Trajektoria Falcona 9 przebiega nad Francją, będzie znajdował się wtedy około 260 kilometrów nad Ziemią. Najbardziej uprzywilejowani podczas tego przelotu będą mieszkańcy Polski południowo-zachodniej, ale więcej szczegółów będzie przedstawione podczas transmisji na żywo. 
Zapraszam! Link w komentarzu! ";astronomia
Dzisiaj wyszedłem sobie na dwór po powrocie do domu z zajęć dodatkowych i ujrzałem śwoecącą się mocno gwiazdę, początkowo myślałem, że to zwyczajna gwiazda i obserwowałem księżyc. Postanowiłem, że zadzwonię do osoby która mnie wspiera w moich pierwszych krokach w astronomii czyli pan @Gayosktóremu bardzo dziękuję, że powiedział mi, że ta śwoecąca się gwiazdą to Jowisz, dzięki temu dokonałem pierwszej obserwacji planety z mojej lornetki.;astronomia
"M17 - obiekt znany, oklepany, nie będę powielał informacji z Wikipedii :) Odkąd poznałem SHO-AIP, skrypt pod PixInsight do składania zdjęć SHO, bardzo polubiłem obróbkę w tej palecie. W zasadzie każde dotychczas obrabiane zdjęcie byłem w stanie ""okiełznać"" i przedstawić w fajnych kolorach prezentujących różnorodność każdego z pasm. Do czasu tego zdjęcia... M17 jest bardzo (bardzo) jasną mgławicą - pasmo Ha jest niezwykle mocne i zbiega się z równie bardzo mocnym sygnałem OIII. Przez to, składając ""jak zwykle"" wychodził mi ohydny fioletowy ""placek"" zamiast mgławicy - zupełnie nie mogłem sobie poradzić z obróbką tego zdjęcia. Przestałem liczyć ilość wersji... Poniżej, choć nie lubię ""mnogości"" wersji, przedstawiam dwie zupełnie różne wersje kolorystyczne, składane w zupełnie rożny sposób. Aby złożyć w ""tradycyjny"" sposób, musiałem wyciszyć mocno sygnał Ha, dostosować go do OIII, potem odpowiednio wyrównać kanały - w skrócie: dotychczas absolutnie najtrudniejszy obiekt do obróbki w palecie SHO, z jakim miałem do czynienia. ";astronomia
Ustawa o ochronie sygnalistów ma wdrażać do polskiego prawa dyrektywę Parlamentu Europejskiego i Rady UE. Dokument ten miał być wprowadzony przez wszystkie kraje unijne do 17 grudnia 2021 r. Polska dopiero teraz pracuje nad ich wdrożeniem.;inne
Dzięki systemowi SteamCare ubrania wyjęte z bębna nie są pogniecione. Poprzez dodanie pary na koniec prania, włókna rozluźniają się, zmniejszając, aż o 1/3 ilość zagnieceń. Ubrania nie poddawane wysokim temperaturą zwykłego prasowania na dłużej zachowują idealny wygląd.;inne
"Poza obiektami należącymi do naszego Układu Słonecznego oraz poza wielką mnogością gwiazd widocznych i niewidocznych gołym okiem istnieje ogromna liczba obiektów mgławicowych. Miłośnicy astronomii i astronomowie profesjonalni wiedzą, że mówiąc o obiektach mgławicowych dokonuje się pewnego skrótu myślowego - albowiem jest to bardzo szerokie i dość nieprecyzyjne pojęcie. Obejmuje ono mgławice gazowo - pyłowe, mgławice planetarne, otwarte i kuliste gromady gwiazd oraz galaktyki. Trudno dziś, znając naturę galaktyk nazwać je mgławicami - trzeba jednak mieć świadomość, że przez długie wieki nikt nie zdawał sobie sprawy z istnienia innych galaktyk niż nasza Droga Mleczna (słowo galaktyka pochodzi od greckiego galaktos - mleko). Odkrycie tego faktu miało miejsce stosunkowo niedawno. Otóż w latach 1923 - 1924 Edwin Hubble, badając przy użyciu teleskopu o średnicy 100 cali ""mgławice"" oznaczone symbolami M31 i M33 zaobserwował w nich gwiazdy zmienne zwane cefeidami - co do których stwierdzono, że ich moc promieniowania zależy od częstotliwości zmian blasku. Dzięki znajomości tej zależności oraz obserwowanej jasności gwiazd (jasność maleje odwrotnie proporcjonalnie do odległości) można użyć cefeid do określania odległości w przestrzeni kosmicznej. Ponieważ tak wyznaczone odległości do tych ""mgławic"" były wielokrotnie większe niż rozmiary naszej Galaktyki, należało zweryfikować pogląd, że są to obiekty blisko z nią związane. Dziś nikogo specjalnie to nie szokuje - wiadomo, że M31, Wielka Mgławica w Andromedzie, to najbliższa nam, odległa o 2,2 miliona lat świetlnych galaktyka spiralna - bardzo podobna do naszej (widoczna także w marcu, choć jedynie wczesnym wieczorem, nisko nad północno- zachodnim horyzontem i trzeba trochę wprawy żeby ją odnaleźć); z kolei M33 to niezbyt odległa, duża galaktyka spiralna w gwiazdozbiorze Trójkąta (łac. Triangulum), widoczna późnym latem i jesienią pod ciemnym wiejskim niebem (ze względu na małą jasność powierzchniową). Co więcej, powszechnie wiadomo, iż galaktyk we Wszechświecie jest ogromnie wiele, i pojawiające się co jakiś czas doskonałe zdjęcia galaktyk z bardzo odległych rejonów kosmosu mało kogo już wzruszają. Należy jednak pamiętać, iż poprzez odkrycie Hubble'a Wszechświat nagle powiększył się dla nas miliony razy, zmieniając raz jeszcze nie tylko dziedziny nauki takie jak kosmologia czy astrofizyka, ale także miejsce człowieka w przestrzeni - poczuliśmy się jeszcze mniejsi.";astronomia
Jeśli zastanawiasz się jaką deskorolkę wybrać i wciąż nie możesz się zdecydować pomiędzy klasykiem a elektryczną wersją, teraz nie musisz wybierać! Spokey E-RUSH to połączenie wszystkiego, co najlepsze w hoverboardzie i deskorolce do szybkiej jazdy. To hybryda, która posiada elektryczny napęd sterowany za pomocą pilota, ale umożliwia także jazdę w postaci klasycznej deskorolki - nawet z rozładowaną baterią, bez ryzyka zatarcia silnika. W dowolnym momencie wyłącz lub włącz napęd elektryczny i jeździj tak, jak lubisz!;inne
